transaction_id,user_id,amount,merchant_category,transaction_hour,day_of_week,account_age_days,previous_transactions,avg_transaction_amount,location_risk_score,device_risk_score,is_fraud
TXN_SAFE_0004,USR_1004,829.68,jewelry,19,6,2258,319,112.61,0.34,0.59,0
TXN_SAFE_0008,USR_1008,652.38,coffee_shop,16,1,3570,416,196.48,0.41,0.44,0
TXN_FRAUD_0003,USR_5003,3035.0,luxury,0,2,192,9,51.27,0.81,0.86,1
TXN_SAFE_0025,USR_1025,776.27,luxury,0,3,1175,271,148.59,0.47,0.18,0
TXN_FRAUD_0004,USR_5004,2138.72,electronics,2,2,103,1,63.42,0.83,0.83,1
TXN_SAFE_0001,USR_1001,437.78,grocery,9,4,2448,274,173.42,0.31,0.26,0
TXN_SAFE_0002,USR_1002,433.72,gas_station,15,7,250,423,273.35,0.57,0.35,0
TXN_SAFE_0013,USR_1013,336.89,grocery,6,5,461,455,222.99,0.38,0.29,0
TXN_SAFE_0031,USR_1031,307.88,luxury,17,3,698,497,126.62,0.43,0.16,0
TXN_SAFE_0011,USR_1011,614.52,coffee_shop,17,4,3720,67,230.85,0.11,0.4,0
TXN_SAFE_0020,USR_1020,819.01,grocery,8,7,1541,380,146.21,0.26,0.28,0
TXN_SAFE_0024,USR_1024,861.72,fast_food,12,1,2338,385,295.91,0.23,0.38,0
TXN_SAFE_0039,USR_1039,471.19,fast_food,16,5,662,205,251.98,0.1,0.38,0
TXN_SAFE_0036,USR_1036,823.45,pharmacy,23,6,3049,394,255.38,0.55,0.16,0
TXN_SAFE_0027,USR_1027,435.51,grocery,20,6,771,482,101.14,0.33,0.37,0
TXN_SAFE_0041,USR_1041,391.09,jewelry,18,3,480,169,217.1,0.11,0.42,0
TXN_SAFE_0035,USR_1035,725.65,restaurant,14,6,184,208,193.52,0.48,0.14,0
TXN_FRAUD_0002,USR_5002,3183.26,electronics,2,5,190,6,86.17,0.8,0.86,1
TXN_SAFE_0021,USR_1021,203.97,gas_station,13,6,1821,30,257.28,0.27,0.38,0
TXN_SAFE_0015,USR_1015,324.29,fast_food,16,6,3475,495,149.55,0.45,0.6,0
TXN_SAFE_0029,USR_1029,461.67,restaurant,11,6,1062,410,238.38,0.47,0.12,0
TXN_SAFE_0005,USR_1005,517.54,coffee_shop,0,4,3757,423,203.22,0.16,0.51,0
TXN_SAFE_0017,USR_1017,186.01,jewelry,17,4,827,108,149.72,0.22,0.27,0
TXN_SAFE_0033,USR_1033,444.39,coffee_shop,16,1,2678,115,241.27,0.38,0.14,0
TXN_SAFE_0009,USR_1009,808.11,restaurant,23,7,438,497,70.8,0.48,0.22,0
TXN_SAFE_0030,USR_1030,687.83,electronics,20,1,3205,295,259.81,0.18,0.49,0
TXN_SAFE_0026,USR_1026,590.63,grocery,17,3,1796,208,266.47,0.59,0.14,0
TXN_SAFE_0019,USR_1019,339.78,grocery,0,2,1969,128,215.39,0.52,0.38,0
TXN_FRAUD_0006,USR_5006,4028.55,luxury,1,6,249,2,78.91,0.8,0.78,1
TXN_SAFE_0014,USR_1014,882.62,coffee_shop,0,3,1038,237,260.42,0.28,0.12,0
TXN_SAFE_0038,USR_1038,556.0,grocery,5,5,1430,476,80.56,0.2,0.51,0
TXN_SAFE_0042,USR_1042,78.98,fast_food,7,2,3731,194,236.2,0.34,0.16,0
TXN_SAFE_0006,USR_1006,592.75,fast_food,13,6,2305,356,186.27,0.27,0.25,0
TXN_SAFE_0010,USR_1010,224.8,pharmacy,21,3,796,201,193.11,0.15,0.54,0
TXN_FRAUD_0005,USR_5005,3720.4,electronics,0,5,213,2,134.19,0.86,0.84,1
TXN_FRAUD_0001,USR_5001,4018.14,electronics,0,7,481,1,89.43,0.9,0.85,1
TXN_SAFE_0034,USR_1034,574.4,online,12,4,354,409,253.71,0.27,0.56,0
TXN_SAFE_0022,USR_1022,570.7,electronics,19,1,2190,211,180.38,0.1,0.59,0
TXN_SAFE_0007,USR_1007,425.32,online,15,5,2838,244,220.33,0.54,0.36,0
TXN_SAFE_0037,USR_1037,123.6,pharmacy,9,4,3340,426,84.6,0.3,0.31,0
TXN_SAFE_0016,USR_1016,370.32,grocery,20,3,2126,421,240.64,0.4,0.45,0
TXN_SAFE_0032,USR_1032,648.39,gas_station,12,3,618,303,271.96,0.45,0.32,0
TXN_SAFE_0000,USR_1000,314.34,grocery,2,6,682,94,207.74,0.15,0.32,0
TXN_SAFE_0023,USR_1023,864.81,electronics,2,4,3776,34,101.91,0.25,0.36,0
TXN_SAFE_0012,USR_1012,551.11,pharmacy,12,5,3289,202,89.74,0.18,0.45,0
TXN_SAFE_0028,USR_1028,133.99,luxury,2,6,3662,377,124.22,0.56,0.38,0
TXN_FRAUD_0000,USR_5000,3937.64,luxury,1,1,413,7,75.04,0.78,0.83,1
TXN_SAFE_0040,USR_1040,888.74,fast_food,3,5,3075,218,195.54,0.2,0.46,0
TXN_SAFE_0003,USR_1003,611.56,gas_station,10,5,3382,277,78.9,0.26,0.31,0
TXN_SAFE_0018,USR_1018,511.82,fast_food,14,4,3178,266,216.66,0.15,0.17,0
